class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
HUBERREGRESSOR,5,6911,1383,1382,0.4,5.006472014,4.413892909,5.788712012,0.480411955,5.006472014,4.413892909,5.788712012,0.480411955,3,3,0,0.5,0.397382324,0.019464582,0.717221233,0.000553982,1.18491917,0.195885565,2.196897832,0.001553921,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.386951461,0,0,0
HUBERREGRESSOR,10,11520,1152,1152,0,4.947916667,4.166666667,5.902777778,0.494105884,4.947916667,4.166666667,5.902777778,0.494105884,6,6,0,0.5,0.937794881,1.52E-05,2.997120865,0.382088252,5.501297645,1.200452472,13.95288873,1.567481144,0,0,0,0,5.6,5,6,0.489897949,6,6,6,0,6,6,6,0,3,3,3,0,1,1,1,0,2,2,2,0,0.237154507,383,47,0
XGBRegressor,10,34560,3456,3456,0,4.956597222,4.542824074,5.295138889,0.222650563,4.956597222,4.542824074,5.295138889,0.222650563,5,5,0,0.166666667,1.975020294,0.147464001,4.545534124,0.59998184,6.580048272,0.233557613,24.66593918,3.640068294,0,0,0,0,4.2,4,5,0.4,4.2,4,5,0.4,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.080786542,0,0,0
XGBRegressor,5,5760,1152,1152,0,5.052083333,4.427083333,5.381944444,0.331228889,5.052083333,4.427083333,5.381944444,0.331228889,2,2,0,1,0.050285025,0.013195226,0.2658276,0.065529727,0.795159067,0.133663838,1.205934761,0.09698678,0,0,0,0,1,1,1,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.582990974,0,0,0
XGBRegressor,10,20731,2074,2073,0.3,4.992515238,4.100337675,5.933429812,0.543230961,4.992515238,4.100337675,5.933429812,0.543230961,3,3,0,0.166666667,0.854627485,9.52E-06,4.585037423,1.100031598,4.338271057,0.272026256,25.41258873,6.060124938,0,0,0,0,2.4,2,3,0.489897949,2.3,2,3,0.458257569,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.199057864,0,0,0
LinearSVR,15,38011,2535,2534,0.249443826,4.956459605,3.827940016,5.880031571,0.519714574,4.956459605,3.827940016,5.880031571,0.519714574,7,6,1,0.166666667,1.400197792,6.10E-06,3.582709765,0.488122972,8.352438024,1.047034178,18.93805457,1.839242216,1,1,1,0,4.733333333,2,6,0.928559218,6,6,6,0,7,7,7,0,3,3,3,0,1,1,1,0,2,2,2,0,0.021990344,1267,844,0.244930027
HUBERREGRESSOR,5,27646,5530,5529,0.4,5.027869164,4.556962025,5.371676614,0.2921252,5.027869164,4.556962025,5.371676614,0.2921252,15,15,0,0.166666667,0.018142129,1.28E-12,0.667956322,0.057919344,1.474920298,0.811678331,1.500540056,0.042920921,0,0,0,0,14.2,13,15,0.748331477,14,14,14,0,15,15,15,0,0,0,0,0,0,0,0,0,14,14,14,0,0.012809702,61,2,0
XGBRegressor,15,20731,1383,1382,0.249443826,4.939460243,3.690303907,5.933429812,0.560135315,4.939460243,3.690303907,5.933429812,0.560135315,3,3,0,0.166666667,1.412336829,0.044350167,4.581736218,1.234515685,7.945865478,1.178403908,25.05527377,6.146635949,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.192614168,0,0,0
XGBRegressor,10,17280,1728,1728,0,5.09837963,4.513888889,6.597222222,0.584719885,5.09837963,4.513888889,6.597222222,0.584719885,4,4,0,0.166666667,3.25057986,2.73E-06,4.838350666,0.666577694,17.02717936,0.466751708,28.84523321,3.849568304,0,0,0,0,2.8,1,3,0.6,3.1,3,4,0.3,3.9,3,4,0.3,3,3,3,0,1,1,1,0,0,0,0,0,0.01490966,0,0,0.325082973
XGBRegressor,15,12661,845,844,0.249443826,5.181197828,4.146919431,6.63507109,0.749392096,5.181197828,4.146919431,6.63507109,0.749392096,6,6,0,0.5,1.846356962,0.000121237,5.213647045,0.711156666,8.152877577,0.148525028,34.66891022,5.056757237,0,0,0,0,5.2,5,6,0.4,5,5,5,0,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.16209664,0,0,0
XGBRegressor,10,10361,1037,1036,0.3,4.999553211,3.474903475,6.081081081,0.717119569,4.999553211,3.474903475,6.081081081,0.717119569,2,2,0,0.166666667,0.034567973,0.000515836,0.058381119,0.006655452,1.325158814,1.230189262,1.438047761,0.008823912,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.351374927,0,0,0
LinearSVR,5,34560,6912,6912,0,4.884259259,4.701967593,5.208333333,0.171329529,4.884259259,4.701967593,5.208333333,0.171329529,5,4,1,0.166666667,0.131371987,0.033326365,0.299454071,0.000205675,0.841585438,0.3659221,1.198811831,0.000311362,1,1,1,0,2.6,1,5,1.959591794,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.075844363,0,0,0.673011667
QUANTILEREGRESSOR,15,34560,2304,2304,0,4.973958333,4.383680556,5.338541667,0.270725732,4.973958333,4.383680556,5.338541667,0.270725732,5,4,1,0.166666667,0.197444435,0.005571566,0.462538836,0.001112841,0.843659321,0.064572949,1.259870717,0.004159373,1,1,1,0,0,0,0,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.071078619,0,0,0
LASSO,10,10361,1037,1036,0.3,4.903083963,3.957528958,5.501930502,0.488682362,4.903083963,3.957528958,5.501930502,0.488682362,9,9,0,0.5,0.681792582,8.01E-06,3.123648225,0.469365429,4.590330071,1.192072217,14.28959136,1.461436126,0,0,0,0,8,7,9,0.447213595,8,8,8,0,8.8,8,9,0.4,3,3,3,0,1,1,1,0,4,4,4,0,0.284872539,1036,47,0
HUBERREGRESSOR,5,27646,5530,5529,0.4,5.038717111,4.665461121,5.425935974,0.279858151,5.038717111,4.665461121,5.425935974,0.279858151,12,12,0,0.166666667,0.030106685,6.97E-13,0.695572979,0.073608227,1.462670252,0.233519495,1.728315907,0.111849887,0,0,0,0,11.4,11,12,0.489897949,11,11,11,0,12,12,12,0,0,0,0,0,0,0,0,0,11,11,11,0,0.011180913,10,2,0
LinearSVR,5,42046,8410,8409,0.4,4.951708923,4.649779998,5.398335315,0.273523853,4.951708923,4.649779998,5.398335315,0.273523853,1,1,0,0.166666667,1.418883955,0.621908054,2.615911321,0,3.382895286,1.016468064,8.12712431,0,0,0,0,0,0.2,0,1,0.4,0.2,0,1,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015497939,0,0,0.673011667
HUBERREGRESSOR,15,34560,2304,2304,0,4.947916667,4.296875,5.989583333,0.456039081,4.947916667,4.296875,5.989583333,0.456039081,8,7,1,0.166666667,1.51085517,2.64E-05,3.553131731,0.449836274,9.085346185,0.126018166,20.25899034,1.649757632,1,1,1,0,5.2,2,7,1.514375559,7.2,7,8,0.4,8,8,8,0,4,4,4,0,2,2,2,0,2,2,2,0,0.024424581,1151,1151,0.579915171
HUBERREGRESSOR,5,5760,1152,1152,0,5.121527778,3.993055556,6.684027778,0.878410461,5.121527778,3.993055556,6.684027778,0.878410461,2,1,1,0.5,0.157818611,0.032416097,0.297265214,0,1.127456374,0.800353555,1.264234991,0,1,1,1,0,1.4,1,2,0.489897949,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.17648433,0,0,0.673011667
XGBRegressor,10,42041,4205,4204,0.3,4.999884035,4.329210276,5.613701237,0.345205519,4.999884035,4.329210276,5.613701237,0.345205519,2,2,0,0.166666667,0.236011881,0.006437509,2.613952694,0.524780353,1.44589105,1.054448486,5.716995861,0.940072369,0,0,0,0,1.2,1,2,0.4,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015223229,0,0,0.500402424
XGBRegressor,5,12671,2535,2534,0.4,5.027281827,4.339250493,5.564325178,0.426025119,5.027281827,4.339250493,5.564325178,0.426025119,3,3,0,0.5,3.354796835,1.116826283,4.601134659,0.000975917,15.90929319,0.341308866,25.08940776,0.008329262,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.129063251,0,0,0
XGBRegressor,20,17280,864,864,0,4.94212963,3.587962963,6.134259259,0.611457358,4.94212963,3.587962963,6.134259259,0.611457358,6,6,0,0.166666667,1.919170665,1.70E-05,4.452417725,0.666988434,7.035576922,0.032395553,24.94309276,3.748811962,0,0,0,0,3.75,0,6,2.021756662,5.2,5,6,0.4,6,6,6,0,5,5,5,0,3,3,3,0,0,0,0,0,0.091003838,0,0,0.610864302
XGBRegressor,5,7006,1402,1401,0.4,4.99584055,4.136947218,5.781584582,0.536989332,4.99584055,4.136947218,5.781584582,0.536989332,3,1,2,1,0.823474256,0.030871006,2.184052472,0,1.481244228,0.741617877,3.448018532,0,1.106513958,1,2,0,0.4,0,1,0.489897949,1.6,1,2,0.489897949,2.6,2,3,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0.024306926,0,0,0.673011667
XGBRegressor,20,31101,1556,1555,0.217944947,5.099511072,4.308681672,6.173633441,0.489765729,5.099511072,4.308681672,6.173633441,0.489765729,6,6,0,0.166666667,2.221979502,1.83E-05,4.940000622,0.403799979,12.15178146,0.172104984,30.53445984,3.068235008,0,0,0,0,5.05,3,6,0.589491306,5.25,5,6,0.433012702,6,6,6,0,3,3,3,0,1,1,1,0,2,2,2,0,0.011188402,18,18,0.198515243
LASSO,20,17280,864,864,0,5.040509259,3.703703704,6.481481481,0.703523788,5.040509259,3.703703704,6.481481481,0.703523788,6,6,0,0.166666667,2.153244701,1.22E-06,5.065108767,0.481603966,11.6912206,0.01781731,29.90397125,3.296091097,0,0,0,0,4.95,3,6,0.497493719,5.1,5,6,0.3,5.7,5,6,0.458257569,3,3,3,0,1,1,1,0,2,2,2,0,0.015697231,3,3,0.198515243
LASSO,5,8061,1613,1612,0.4,4.925027575,4.277743335,5.272952854,0.339881577,4.925027575,4.277743335,5.272952854,0.339881577,5,5,0,0.5,0.66761108,0.001578392,1.905824893,0.315375837,3.197119164,0.724805494,7.589977888,0.91713288,0,0,0,0,4.2,4,5,0.4,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.368604282,0,0,0
LinearSVR,15,14011,935,934,0.249443826,4.917526442,3.533190578,6.102783726,0.667132321,4.917526442,3.533190578,6.102783726,0.667132321,2,2,0,0.5,2.088858126,4.51E-06,5.826432549,0.998512748,14.49319075,0.918302192,57.43377552,6.719956851,0,0,0,0,0.933333333,0,1,0.249443826,1.066666667,1,2,0.249443826,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.011402309,0,0,0.244930027
XGBRegressor,20,42041,2103,2102,0.217944947,5.016525258,4.186489058,6.08943863,0.448855995,5.016525258,4.186489058,6.08943863,0.448855995,2,2,0,0.166666667,0.34020527,0.000203388,3.035359939,0.59587389,1.450473015,0.636209438,8.479687639,1.194750431,0,0,0,0,1.4,1,2,0.489897949,1.15,1,2,0.357071421,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018715927,0,0,0
ELASTICNETCV,15,17280,1152,1152,0,5.150462963,4.340277778,6.423611111,0.579859956,5.150462963,4.340277778,6.423611111,0.579859956,3,2,1,0.166666667,0.166736047,0.016424387,0.401779886,0.055382303,1.282868925,0.958141909,1.616287311,0.107145346,1,1,1,0,1,1,1,0,2,2,2,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.070768332,0,0,0
LinearSVR,5,34560,6912,6912,0,4.930555556,4.730902778,5.46875,0.274106478,4.930555556,4.730902778,5.46875,0.274106478,1,1,0,0.166666667,1.107736719,0.192231438,3.017327706,0,2.31560025,0.104737616,8.096880529,0,0,0,0,0,0.2,0,1,0.4,0.2,0,1,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017974618,0,0,0.673011667
HUBERREGRESSOR,5,20736,4148,4147,0.4,4.976867478,4.652844744,5.353267422,0.25116568,4.976867478,4.652844744,5.353267422,0.25116568,4,4,0,0.166666667,0.461647846,0.085842385,0.868812242,0.000230431,1.351806178,0.174345795,2.608280517,0.001328886,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,2,2,2,0,0,0,0,0,0.175193485,0,0,0
XGBRegressor,15,42046,2804,2803,0.249443826,4.973133534,3.853014627,5.993578309,0.541568322,4.973133534,3.853014627,5.993578309,0.541568322,4,4,0,0.166666667,1.364926536,0.00583906,4.860202078,0.890727577,6.882496638,0.703631928,28.13268706,4.984758331,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.155857049,0,0,0
QUANTILEREGRESSOR,5,14016,2804,2803,0.4,5.044205745,4.495183732,5.49411345,0.403608527,5.044205745,4.495183732,5.49411345,0.403608527,11,11,0,0.5,1.203012457,2.24E-05,4.895921959,0.649973011,7.725547978,0.356576062,30.45959214,4.132381349,0,0,0,0,7.8,6,10,1.6,10.2,10,11,0.4,11,11,11,0,4,4,4,0,2,2,2,0,6,6,6,0,0.010528963,2804,934,0.673011667
XGBRegressor,5,9216,1844,1843,0.4,5.056454451,4.666304938,5.588714053,0.324920825,5.056454451,4.666304938,5.588714053,0.324920825,6,6,0,0.5,1.020592063,3.41E-05,4.798195983,0.872625655,5.605780766,0.103851037,28.02038457,5.514752602,0,0,0,0,4.6,3,5,0.8,5,5,5,0,6,6,6,0,2,2,2,0,0,0,0,0,2,2,2,0,0.178593283,368,368,0
XGBRegressor,5,9216,1844,1843,0.4,5.07812877,4.720564297,5.588714053,0.286356366,5.07812877,4.720564297,5.588714053,0.286356366,2,2,0,0.5,2.353709471,0.93242207,4.637690267,0.000728443,9.472050715,0.084268038,26.28187771,0.00172572,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0.277054662,0,0,0
LinearSVR,5,4031,807,806,0.4,4.986701351,3.593556382,6.327543424,0.940976807,4.986701351,3.593556382,6.327543424,0.940976807,9,9,0,1,1.249474102,8.41E-06,4.022670197,0.515555546,7.828983404,1.139518625,23.45877267,3.346593274,0,0,0,0,6,4,8,1.673320053,8.2,8,9,0.4,8.8,8,9,0.4,4,4,4,0,2,2,2,0,4,4,4,0,0.029686738,807,806,0.673011667
LASSO,20,24181,1210,1209,0.217944947,4.970811202,4.218362283,5.872622002,0.531123561,4.970811202,4.218362283,5.872622002,0.531123561,3,2,1,0.166666667,0.169505632,0.004068928,0.413683196,0.057323358,1.171717606,0.75034433,1.29686741,0.062510578,1,1,1,0,1,1,1,0,2,2,2,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.081645865,0,0,0
XGBRegressor,5,5760,1152,1152,0,4.809027778,4.253472222,5.555555556,0.474184038,4.809027778,4.253472222,5.555555556,0.474184038,4,2,2,1,1.332789542,0.011626536,4.611121311,1.202307073,7.01683231,0.695841032,26.34743507,8.633955923,1.078745645,1,2,0,1.6,1,4,1.2,2.6,2,3,0.489897949,3.6,3,4,0.489897949,1,1,1,0,0,0,0,0,0,0,0,0,0.034458943,0,0,0.673011667
XGBRegressor,5,7005,1401,1401,0,0,0,0,0,0,0,0,0,4,4,0,1,0.750654577,0.009999441,1.552641182,0.09791008,0.900389019,0.006108149,2.246644547,0.158550345,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.521778771,0,0,0
LinearSVR,10,42041,4205,4204,0.3,5.026050158,4.686013321,5.470980019,0.221972463,5.026050158,4.686013321,5.470980019,0.221972463,1,1,0,0.166666667,0.570371986,0.000426691,3.270653526,0,2.084074832,0.87911145,9.807963867,0,0,0,0,0,0.3,0,1,0.458257569,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015538258,0,0,0.500402424
HUBERREGRESSOR,10,17280,1728,1728,0,4.965277778,4.050925926,6.423611111,0.70059009,4.965277778,4.050925926,6.423611111,0.70059009,5,5,0,0.166666667,0.362429141,0.049235402,0.881934116,0.002582043,0.807998455,0.087619681,2.595256828,0.007902098,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.175380274,0,0,0
LinearSVR,20,34560,1728,1728,0,5.014467593,4.108796296,6.539351852,0.533310865,5.014467593,4.108796296,6.539351852,0.533310865,3,3,0,0.166666667,0.199506074,8.73E-05,2.097180773,0.377547231,1.408485714,0.130548265,3.454901342,0.247912549,0,0,0,0,2.4,2,3,0.489897949,2,2,2,0,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0.018102419,1727,1727,0.422709088
LinearSVR,5,9216,1844,1843,0.4,4.969639475,4.772234273,5.425935974,0.249292587,4.969639475,4.772234273,5.425935974,0.249292587,2,2,0,0.5,0.015851314,0.004761498,0.049481436,0.009971439,1.238428631,1.201821806,1.300386138,0.020669614,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.594968932,0,0,0
XGBRegressor,5,7006,1402,1401,0.4,5.010034609,4.354032834,6.709493219,0.877217022,5.010034609,4.354032834,6.709493219,0.877217022,3,1,2,1,0.743101798,0.011871129,2.191800351,0,1.530807292,0.862390895,3.519367863,0,1.106437768,1,2,0,0.4,0,1,0.489897949,1.6,1,2,0.489897949,2.6,2,3,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0.021488599,0,0,0.673011667
HUBERREGRESSOR,10,24191,2420,2419,0.3,4.96467019,4.588673005,5.704836709,0.31091285,4.96467019,4.588673005,5.704836709,0.31091285,3,2,1,0.166666667,0.06724532,0.011898374,0.113625246,0.00020041,1.209796775,1.049088119,1.3088034,8.56E-05,1,1,1,0,0,0,0,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.080020203,0,0,0
LASSO,10,11520,1152,1152,0,4.991319444,4.079861111,5.989583333,0.573508217,4.991319444,4.079861111,5.989583333,0.573508217,6,6,0,0.5,1.32626273,4.09E-05,2.752463886,0.411420173,6.980318036,0.250457023,12.83502164,1.386735984,0,0,0,0,5,5,5,0,5.4,5,6,0.489897949,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.220995991,0,0,0
XGBRegressor,5,12671,2535,2534,0.4,4.900915206,4.143646409,5.40433925,0.498369699,4.900915206,4.143646409,5.40433925,0.498369699,4,3,1,0.5,1.807185846,0.049493646,4.408677848,0.00462955,7.908902336,0.768822353,22.98024898,0.057060679,1,1,1,0,3.4,1,4,1.2,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.084175939,0,0,0.500402424
LinearSVR,5,42046,8410,8409,0.4,4.935075366,4.733024141,5.256273041,0.225724751,4.935075366,4.733024141,5.256273041,0.225724751,5,5,0,0.166666667,1.982973357,4.65E-05,4.816317952,0.721530955,11.33409091,0.371754482,28.94677463,4.256081747,0,0,0,0,3.4,1,4,1.2,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,1,1,1,0,0.009370996,2102,2102,0.500402424
LASSO,5,7006,1402,1401,0.4,5.181310273,4.921540656,5.710206995,0.295258787,5.181310273,4.921540656,5.710206995,0.295258787,3,3,0,1,1.361579344,0.002982411,3.813334195,0.852910014,6.016266404,0.929376062,19.38701127,4.082527782,0,0,0,0,1.2,0,2,0.748331477,2,2,2,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.018564479,0,0,0.673011667
LinearSVR,15,14011,935,934,0.249443826,5.081671991,4.068522484,6.209850107,0.666329063,5.081671991,4.068522484,6.209850107,0.666329063,9,9,0,0.5,1.34914637,5.01E-07,5.557907689,0.689055862,9.981841635,1.13515559,44.80702512,3.90622127,0,0,0,0,7.666666667,5,8,0.788810638,7.933333333,7,9,0.442216639,8.733333333,8,9,0.442216639,3,3,3,0,1,1,1,0,5,5,5,0,0.013363245,934,2,0.244930027
HUBERREGRESSOR,5,7006,1402,1401,0.4,5.181249179,4.639543183,5.781584582,0.438778313,5.181249179,4.639543183,5.781584582,0.438778313,5,4,1,1,0.721174281,0.06618288,1.544494061,0.001058252,1.216113349,0.317035986,1.961189695,0.001000441,1,1,1,0,3.4,1,5,1.959591794,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.187186399,0,0,0.673011667
ELASTICNETCV,10,10361,1037,1036,0.3,4.97060499,4.054054054,6.370656371,0.636560696,4.97060499,4.054054054,6.370656371,0.636560696,5,5,0,0.166666667,0.036209037,0.01066742,0.065855245,0.000851009,0.687720067,0.594135387,0.77580661,0.001541415,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.276486709,0,0,0
LinearSVR,5,42046,8410,8409,0.4,5.02307858,4.661117717,5.315733143,0.217726994,5.02307858,4.661117717,5.315733143,0.217726994,1,1,0,0.166666667,1.030393652,0.618625989,2.44603109,0,1.929291157,0.670168212,5.02679372,0,0,0,0,0,0.2,0,1,0.4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013297097,0,0,0.673011667
XGBRegressor,20,27641,1383,1382,0.217944947,5.043229603,4.052098408,5.788712012,0.457085229,5.043229603,4.052098408,5.788712012,0.457085229,4,4,0,0.166666667,3.106735431,1.76E-06,4.857132934,0.650114508,16.10204163,0.705356002,29.56772357,3.58822649,0,0,0,0,2.9,1,4,0.7,3.1,3,4,0.3,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.015563095,0,0,0.325082973
XGBRegressor,5,14665,2933,2933,0,0,0,0,0,0,0,0,0,1,1,0,24,1.051734816,0.933381648,1.244415562,0,0.917769585,0.323942891,2.739034087,0,0,0,0,0,0.8,0,1,0.4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708294622,0,0,0
LinearSVR,15,42046,2804,2803,0.249443826,5.07539049,4.138423118,5.922226186,0.39346745,5.07539049,4.138423118,5.922226186,0.39346745,11,10,1,0.166666667,1.461470425,1.45E-05,3.791406141,0.546881821,9.108414949,0.096067206,21.29444421,1.970312531,1,1,1,0,7.866666667,4,11,2.39072281,10.13333333,10,11,0.339934634,11,11,11,0,5,5,5,0,3,3,3,0,4,4,4,0,0.025532589,2803,934,0.579915171
XGBRegressor,20,34560,1728,1728,0,4.913194444,3.587962963,6.365740741,0.673363476,4.913194444,3.587962963,6.365740741,0.673363476,4,4,0,0.166666667,0.884903301,0.000131536,4.67480441,0.927707498,3.838906546,0.016138108,26.03444878,5.13273144,0,0,0,0,3.15,3,4,0.357071421,3.1,3,4,0.3,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.170645911,0,0,0
LinearSVR,20,34560,1728,1728,0,4.869791667,4.108796296,5.613425926,0.406855868,4.869791667,4.108796296,5.613425926,0.406855868,4,3,1,0.166666667,0.240025774,0,0.791369551,0.068518502,0.875314649,0,1.390491504,0.222066217,1,1,1,0,0.95,0,1,0.217944947,3,3,3,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.066581462,0,0,0
LinearSVR,5,24191,4839,4838,0.4,4.964659045,4.836709384,5.22943365,0.140528222,4.964659045,4.836709384,5.22943365,0.140528222,5,4,1,0.166666667,0.10093193,0.032995383,0.238387154,0.000210493,1.061978436,0.70703604,1.26244768,0.000466121,1,1,1,0,1.2,1,2,0.4,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.083877216,0,0,0.500402424
HUBERREGRESSOR,10,9211,922,921,0.3,4.852972695,4.121475054,6.623235613,0.749621273,4.852972695,4.121475054,6.623235613,0.749621273,3,3,0,0.5,0.052574517,0.001748481,0.134225206,0.002390175,0.570447989,0.473341702,0.626258484,0.002321932,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.490832659,0,0,0
XGBRegressor,5,5760,1152,1152,0,4.895833333,4.513888889,5.295138889,0.249178821,4.895833333,4.513888889,5.295138889,0.249178821,3,3,0,1,1.37878018,0.001253406,4.653280769,0.746729651,4.895581695,1.200714146,24.98511535,5.270834899,0,0,0,0,2,1,3,0.894427191,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.300347534,0,0,0.673011667
XGBRegressor,15,17280,1152,1152,0,4.988425926,4.166666667,5.815972222,0.527414694,4.988425926,4.166666667,5.815972222,0.527414694,6,6,0,0.166666667,1.208539507,1.19E-06,4.851355894,0.83427621,6.334350693,0.590553356,28.58776985,4.985653631,0,0,0,0,5.466666667,5,6,0.498887652,5.333333333,5,6,0.471404521,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.224820361,0,0,0
HUBERREGRESSOR,20,17280,864,864,0,5.115740741,3.819444444,6.481481481,0.737114969,5.115740741,3.819444444,6.481481481,0.737114969,4,4,0,0.166666667,0.430553416,0.001257705,1.305636719,0.191453139,1.333488471,0.000536962,4.186510828,0.38565067,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.179913355,0,0,0
HUBERREGRESSOR,5,17280,3456,3456,0,5.040509259,4.542824074,5.613425926,0.37788953,5.040509259,4.542824074,5.613425926,0.37788953,7,7,0,0.166666667,1.296776744,7.39E-05,3.311106076,0.464429159,7.955800723,0.424341079,17.22213477,1.608283271,0,0,0,0,4.8,2,7,1.939071943,6.2,6,7,0.4,6.8,6,7,0.4,4,4,4,0,2,2,2,0,2,2,2,0,0.011220389,3456,3456,0.673011667
